fips_state_code,traffic_volume_counted_after_0000_to_0100,traffic_volume_counted_after_0100_to_0200,traffic_volume_counted_after_0200_to_0300,traffic_volume_counted_after_0300_to_0400,traffic_volume_counted_after_0400_to_0500,traffic_volume_counted_after_0500_to_0600,traffic_volume_counted_after_0600_to_0700,traffic_volume_counted_after_0700_to_0800,traffic_volume_counted_after_0800_to_0900,traffic_volume_counted_after_0900_to_1000,traffic_volume_counted_after_1000_to_1100,traffic_volume_counted_after_1100_to_1200,traffic_volume_counted_after_1200_to_1300,traffic_volume_counted_after_1300_to_1400,traffic_volume_counted_after_1400_to_1500,traffic_volume_counted_after_1500_to_1600,traffic_volume_counted_after_1600_to_1700,traffic_volume_counted_after_1700_to_1800,traffic_volume_counted_after_1800_to_1900,traffic_volume_counted_after_1900_to_2000,traffic_volume_counted_after_2000_to_2100,traffic_volume_counted_after_2100_to_2200,traffic_volume_counted_after_2200_to_2300,traffic_volume_counted_after_2300_to_2400,latitude,longitude,national_highway_system
1,122.92474747474748,115.37121212121212,101.95353535353536,98.39545454545454,149.05050505050505,237.52727272727273,319.59090909090907,385.32070707070704,385.85,417.5181818181818,443.50353535353537,465.81717171717173,484.05858585858584,502.50252525252523,540.9530303030303,591.4909090909091,562.6262626262626,508.36717171717174,410.06363636363636,333.8484848484849,271.95757575757574,224.60858585858585,177.19949494949495,136.3580808080808,33.606681,86.270003,Y
1,121.56434911242603,91.30029585798816,79.37647928994083,89.06508875739645,119.75073964497041,210.8690828402367,422.1190828402367,631.9045857988166,568.8565088757397,561.6923076923077,604.9741124260355,635.1153846153846,666.8454142011834,692.2359467455622,705.5480769230769,746.3779585798817,791.5717455621302,763.1183431952662,594.5954142011834,463.23002958579883,374.48372781065086,307.25147928994085,233.82100591715977,169.94008875739644,32.366388,86.10298399999999,Y
1,101.67105263157895,82.51973684210526,76.98830409356725,100.64108187134502,166.70540935672514,254.9312865497076,349.7361111111111,383.77119883040933,394.49415204678365,445.54312865497076,500.6747076023392,533.4773391812865,555.7894736842105,577.4722222222222,607.296783625731,623.7682748538011,621.890350877193,559.5116959064327,458.22222222222223,370.9349415204678,303.21198830409355,237.8501461988304,189.4312865497076,140.49122807017545,32.732209999999995,85.29225799999999,Y
1,96.42836676217765,75.77793696275072,71.51074498567336,78.2471346704871,121.50214899713467,202.8531518624642,314.6912607449857,410.99498567335246,480.4684813753582,572.0565902578796,633.7406876790831,674.8051575931232,695.8230659025788,719.0573065902579,736.0401146131805,743.2929799426934,707.8445558739255,628.7313753581661,522.7965616045846,402.60530085959886,314.3868194842407,250.85458452722062,188.371776504298,137.90974212034385,32.865041999999995,86.60724,Y
1,111.33186274509804,88.15735294117647,77.52598039215687,87.7078431372549,118.66078431372549,260.77303921568625,365.9906862745098,429.2921568627451,414.84558823529414,432.7406862745098,467.23823529411766,487.5186274509804,507.63529411764705,546.3230392156863,581.5053921568627,603.5573529411764,615.9387254901961,604.7504901960784,466.45,354.5495098039216,294.50588235294117,268.9852941176471,227.12107843137255,165.2107843137255,33.211371,87.21131,Y
1,55.14985590778098,43.43299711815562,42.4985590778098,46.85374639769452,75.13976945244957,140.149855907781,224.04755043227667,283.5756484149856,302.8177233429395,332.94308357348706,354.54827089337175,363.078530259366,372.61743515850145,383.9308357348703,396.8840057636888,415.30403458213254,419.19452449567723,388.94308357348706,311.407060518732,231.97406340057637,183.4250720461095,147.59726224783861,111.04106628242074,79.42867435158502,33.889219,86.24911999999999,Y
1,142.42731629392972,116.79712460063898,106.68849840255591,134.71725239616615,247.68769968051117,330.46725239616615,405.33226837060704,459.62300319488816,493.7771565495208,569.4776357827476,659.4552715654952,713.2228434504792,734.7659744408945,754.7092651757189,766.5487220447284,816.5654952076677,815.5239616613419,755.4145367412141,568.3123003194888,441.19488817891374,363.73722044728436,307.2436102236422,243.92891373801916,203.1094249201278,30.480656,88.385277,Y
1,81.16845493562232,67.02896995708154,61.80579399141631,63.462446351931334,72.04828326180258,89.51394849785407,123.19957081545064,174.3412017167382,221.05364806866953,268.5386266094421,309.20064377682405,324.8744635193133,333.5429184549356,347.39592274678114,356.3347639484979,348.2585836909871,332.4699570815451,306.4452789699571,258.9957081545064,221.0225321888412,183.7950643776824,152.45815450643778,129.22210300429185,103.63304721030043,32.4663,88.371511,Y
1,136.93130990415335,98.32547923322684,82.76198083067092,81.7376198083067,110.89896166134186,241.0147763578275,540.9908146964856,975.2847444089457,828.701677316294,729.5527156549521,763.1146166134185,831.7012779552716,890.5223642172524,904.0191693290735,928.5315495207668,1012.27196485623,1080.305910543131,1041.7547923322684,728.2260383386581,569.9213258785943,449.1773162939297,382.49600638977637,293.8254792332268,213.38698083067092,32.363281,86.863927,Y
1,88.46052631578948,68.45131578947368,60.79736842105263,70.625,112.4407894736842,202.43421052631578,328.4263157894737,440.31447368421055,479.16973684210524,534.1578947368421,588.5328947368421,613.4118421052632,620.875,628.5118421052632,647.0526315789474,648.0960526315789,669.8855263157894,622.2776315789474,479.67763157894734,353.83684210526314,281.5828947368421,230.2092105263158,170.95394736842104,125.70657894736843,30.651913,87.756371,Y
